categoria,subcategoria,descrição
Blusa,Camiseta básica,"Camisetas de algodão, perfeitas para dias quentes ou looks casuais."
Blusa,Blusa regata,"Blusas sem mangas, ideais para looks de verão ou atividades esportivas."
Blusa,Blusa de alça fina,"Blusas confortáveis, casuais,perfeitas para dias quentes."
Blusa,Blusa manga curta,"Blusas confortáveis, perfeitas para looks casuais."
Blusa,Blusa manga longa,"Blusas femininas com mangas longas, ideais para dias mais frescos ou ocasiões formais."
Blusa,Blusa ombro a ombro,Blusas ideiais para looks de verão.
Blusa,Blusa ciganinha,"Perfeita para os dias mais quentes, proporcionando frescor e elegância."
Blusa,Blusa cropped,"A blusa cropped é um modelo mais curto que uma camiseta ou regata tradicionais, ou seja, “cortadas""."
Blusa,Blusa peplum,Blusa elegante com modelagem acinturada e anatômica.
Blusa,Blusa de gola alta,"Um toque de sofisticação. Pode ser usada com jeans e couro, para looks casuais e modernos."
Blusa,Blusa de gola V,"O charme da Blusa é o decote V, que faz dela uma peça super coringa e que possibilita criar vários looks versáteis e cheios de estilo."
Blusa,Blusa de gola rolê,"Confortável e maleável, esta é uma peça coringa da estação."
Blusa,Blusa de renda,Uma peça de manga curta repleta de leveza.
Blusa,Blusa de seda,"Uma blusa leve e fresquinha, com toque de casualidade e delicadeza. "
Blusa,Blusa de tricô,Uma proposta elegante e atemporal sem perder o conforto. Ideal para os dias mais frios.
Blusa,Blusa gola polo,"Um clássico! Uma mistura da camiseta com a camisa social, mangas curtas e um design mais casual."
